id	sentiment
Promised Land	0
A Quiet Day in Belfast	0
Act of Vengeance	1
Reflections of Murder 	1
The Return of the Pink Panther 	1
Road Movie	1
S*P*Y*S	0
The Savage Is Loose 	0
Scream of the Wolf 	0
Le Sex Shop 	0
Shoot It Black, Shoot It Blue 	0
The Sister-in-Law 	0
Space Is the Place 	1
Spasmo 	1
Stavisky...	1
Steppenwolf	0
The Strange and Deadly Occurrence 	1
The Stranger Within 	0
The Sugarland Express 	1
The Super Cops 	1
TNT Jackson 	0
The Taking of Pelham 	1
The Teacher 	0
Tell Me Where It Hurts 	1
Terror on the 40th Floor 	0
The Texas Chain Saw Massacre 	0
That's Entertainment! 	1
Thieves Like Us 	0
This Is a Hijack 	1
The Three Musketeers 	1
Three the Hard Way 	0
Thunderbolt and Lightfoot	0
Thursday's Game 	1
The Towering Inferno 	1
Le trio infernal 	1
Truck Turner 	1
Horror High 	0
The Ultimate Thrill 	1
Uptown Saturday Night  	1
Visit to a Chief's Son  	1
Welcome to Arrow Beach  	1
Where Have All the People Gone 	1
Where the Lilies Bloom 	1
Where the Red Fern Grows 	1
The White Dawn 	1
Willie Dynamite 	0
A Woman Under the Influence 	1
Wonder Woman 	1
The Year Without a Santa Claus 	1
Young Frankenstein 	1
Zandy's Bride 	1
Zanna Bianca alla riscossa 	1
Zorro translation. 	1
Aaron Loves Angela 	1
Apache Blood 	0
The Art of Crime 	1
Barry Lyndon 	1
Best Friends 	1
Beyond the Bermuda Triangle 	1
Bite the Bullet 	1
The Black Bird 	1
Black Moon 	0
Boss Nigger 	1
A Boy and His Dog 	1
Breakheart Pass 	1
Breakout 	0
Bucktown Carl 	1
Capone 	0
Carry on Behind 	0
Cleopatra Jones and the Casino of Gold Stella 	1
Confessions of a Pop Performer 	0
Cooley High "Aww baby you make my heart BLEED for ya!"  	1
Cornbread, Earl and Me 	1
Cousin cousine 	1
The Deadly Tower 	1
Death Be Not Proud Recognition by the Other... 	1
The Death Collector 	1
Death Race 2000 	1
The Devil's Rain 	0
Diamonds 	1
Doc Savage Merci 	0
Dog Day Afternoon 	1
Dolemite 	0
The Drowning Pool 	1
The Eiger Sanction 	1
Eric 	1
Best Friends 	1
Beyond the Bermuda Triangle 	1
Bite the Bullet 	1
The Black Bird 	1
Black Moon 	0
Boss Nigger 	1
A Boy and His Dog 	1
Breakheart Pass 	1
Breakout 	0
Bucktown Carl 	1
Capone 	0
Carry on Behind 	0
Cleopatra Jones and the Casino of Gold Stella 	1
Confessions of a Pop Performer 	0
Cooley High "Aww baby you make my heart BLEED for ya!"  	1
Cornbread, Earl and Me 	1
Cousin cousine 	1
The Deadly Tower 	1
Death Be Not Proud Recognition by the Other... 	1
The Death Collector 	1
Death Race 2000 	1
The Devil's Rain 	0
Diamonds 	1
Doc Savage Merci 	0
Dog Day Afternoon 	1
Dolemite 	0
The Drowning Pool 	1
The Eiger Sanction 	1
Eric 	1
Exhibition	0
F for Fake 	1
Farewell, My Lovely 	1
Female Trouble 	1
Framed 	1
French Connection II 	1
Friday Foster 	1
Funny Lady 	1
The Giant Spider Invasion 	1
Give 'em Hell, Harry! 	1
Great Expectations 	1
